"SIC87_4","Desc_4_Digit","SIC87_2","Desc_2_Digit","SIC87_1","Desc_1_Digit"
"2514","Metal Household Furniture","25","Furniture and fixtures","D","Manufacturing"
"2515","Mattresses, Foundations, and Convertible Beds","25","Furniture and fixtures","D","Manufacturing"
"2517","Wood Television, Radio, Phonograph and Sewing","25","Furniture and fixtures","D","Manufacturing"
"2519","Household Furniture, NEC","25","Furniture and fixtures","D","Manufacturing"
"2521","Wood Office Furniture","25","Furniture and fixtures","D","Manufacturing"
"2522","Office Furniture, Except Wood","25","Furniture and fixtures","D","Manufacturing"
"2531","Public Building and Related Furniture","25","Furniture and fixtures","D","Manufacturing"
"2541","Wood Office and Store Fixtures, Partitions,","25","Furniture and fixtures","D","Manufacturing"
"2542","Office and Store Fixtures, Partitions,","25","Furniture and fixtures","D","Manufacturing"
"2591","Drapery Hardware and Window Blinds and Shades","25","Furniture and fixtures","D","Manufacturing"
"2599","Furniture and Fixtures, NEC","25","Furniture and fixtures","D","Manufacturing"
"2611","Pulp Mills","26","Paper and allied products","D","Manufacturing"
"2621","Paper Mills","26","Paper and allied products","D","Manufacturing"
"2631","Paperboard Mills","26","Paper and allied products","D","Manufacturing"
"2652","Setup Paperboard Boxes","26","Paper and allied products","D","Manufacturing"
"2653","Corrugated and Solid Fiber Boxes","26","Paper and allied products","D","Manufacturing"
"2655","Fiber Cans, Tubes, Drums, and Similar","26","Paper and allied products","D","Manufacturing"
"2656","Sanitary Food Containers, Except Folding","26","Paper and allied products","D","Manufacturing"
"2657","Folding Paperboard Boxes, Including Sanitary","26","Paper and allied products","D","Manufacturing"
"2671","Packaging Paper and Plastics Film, Coated and","26","Paper and allied products","D","Manufacturing"
"2672","Coated and Laminated Paper, NEC","26","Paper and allied products","D","Manufacturing"
"2673","Plastics, Foil, and Coated Paper Bags","26","Paper and allied products","D","Manufacturing"
"2674","Uncoated Paper and Multiwall Bags","26","Paper and allied products","D","Manufacturing"
"2675","Die-Cut Paper and Paperboard and Cardboard","26","Paper and allied products","D","Manufacturing"
"2676","Sanitary Paper Products","26","Paper and allied products","D","Manufacturing"
"2677","Envelopes","26","Paper and allied products","D","Manufacturing"
"2678","Stationery, Tablets, and Related Products","26","Paper and allied products","D","Manufacturing"
"2679","Converted Paper and Paperboard Products, NEC","26","Paper and allied products","D","Manufacturing"
"2711","Newspapers:  Publishing, or Publishing and","27","Printing and publishing","D","Manufacturing"
"2721","Periodicals: Publishing, or Publishing and","27","Printing and publishing","D","Manufacturing"
"2731","Books: Publishing, or Publishing and Printing","27","Printing and publishing","D","Manufacturing"
"2732","Book Printing","27","Printing and publishing","D","Manufacturing"
"2741","Miscellaneous Publishing","27","Printing and publishing","D","Manufacturing"
"2752","Commercial Printing, Lithographic","27","Printing and publishing","D","Manufacturing"
"2754","Commercial Printing, Gravure","27","Printing and publishing","D","Manufacturing"
"2759","Commercial Printing, NEC","27","Printing and publishing","D","Manufacturing"
"2761","Manifold Business Forms","27","Printing and publishing","D","Manufacturing"
"2771","Greeting Cards","27","Printing and publishing","D","Manufacturing"
"2782","Blankbooks, Loose-leaf Binders and Devices","27","Printing and publishing","D","Manufacturing"
"2789","Bookbinding and Related Work","27","Printing and publishing","D","Manufacturing"
"2791","Typesetting","27","Printing and publishing","D","Manufacturing"
"2796","Platemaking and Related Services","27","Printing and publishing","D","Manufacturing"
"2812","Alkalies and Chlorine","28","Chemicals and allied products","D","Manufacturing"
"2813","Industrial Gases","28","Chemicals and allied products","D","Manufacturing"
"2816","Inorganic Pigments","28","Chemicals and allied products","D","Manufacturing"
"2819","Industrial Inorganic Chemicals, NEC","28","Chemicals and allied products","D","Manufacturing"
"2821","Plastics Material and Synthetic Resins, and","28","Chemicals and allied products","D","Manufacturing"
"2822","Synthetic Rubber","28","Chemicals and allied products","D","Manufacturing"
"2823","Cellulosic Manmade Fibers","28","Chemicals and allied products","D","Manufacturing"
"2824","Manmade Organic Fibers, Except Cellulosic","28","Chemicals and allied products","D","Manufacturing"
"2833","Medicinal Chemicals and Botanical Products","28","Chemicals and allied products","D","Manufacturing"
"2834","Pharmaceutical Preparations","28","Chemicals and allied products","D","Manufacturing"
"2835","In Vitro and In Vivo Diagnostic Substances","28","Chemicals and allied products","D","Manufacturing"
"2836","Biological Products, Except Diagnostic","28","Chemicals and allied products","D","Manufacturing"
"2841","Soaps and Other Detergents, Except Speciality","28","Chemicals and allied products","D","Manufacturing"
"2842","Speciality Cleaning, Polishing, and Sanitary","28","Chemicals and allied products","D","Manufacturing"
"2843","Surface Active Agents, Finishing Agents,","28","Chemicals and allied products","D","Manufacturing"
"2844","Perfumes, Cosmetics, and Other Toilet","28","Chemicals and allied products","D","Manufacturing"
"2851","Paints, Varnishes, Lacquers, Enamels, and","28","Chemicals and allied products","D","Manufacturing"
"2861","Gum and Wood Chemicals","28","Chemicals and allied products","D","Manufacturing"
"2865","Cyclic Organic Crudes and Intermediates, and","28","Chemicals and allied products","D","Manufacturing"
"2869","Industrial Organic Chemicals, NEC","28","Chemicals and allied products","D","Manufacturing"
"2873","Nitrogenous Fertilizers","28","Chemicals and allied products","D","Manufacturing"
"2874","Phosphatic Fertilizers","28","Chemicals and allied products","D","Manufacturing"
"2875","Fertilizers, Mixing Only","28","Chemicals and allied products","D","Manufacturing"
"2879","Pesticides and Agricultural Chemicals, NEC","28","Chemicals and allied products","D","Manufacturing"
"2891","Adhesives and Sealants","28","Chemicals and allied products","D","Manufacturing"
"2892","Explosives","28","Chemicals and allied products","D","Manufacturing"
"2893","Printing Ink","28","Chemicals and allied products","D","Manufacturing"
"2895","Carbon Black","28","Chemicals and allied products","D","Manufacturing"
"2899","Chemicals and Chemical Preparations, NEC","28","Chemicals and allied products","D","Manufacturing"
"2911","Petroleum Refining","29","Petroleum and coal products","D","Manufacturing"
"2951","Asphalt Paving Mixtures and Blocks","29","Petroleum and coal products","D","Manufacturing"
"2952","Asphalt Felts and Coatings","29","Petroleum and coal products","D","Manufacturing"
"2992","Lubricating Oils and Greases","29","Petroleum and coal products","D","Manufacturing"
"2999","Products of Petroleum and Coal, NEC","29","Petroleum and coal products","D","Manufacturing"
"3011","Tires and Inner Tubes","30","Rubber and miscellaneous plastics products","D","Manufacturing"
"3021","Rubber and Plastics Footwear","30","Rubber and miscellaneous plastics products","D","Manufacturing"
"3052","Rubber and Plastics Hose and Belting","30","Rubber and miscellaneous plastics products","D","Manufacturing"
"3053","Gaskets, Packing, and Sealing Devices","30","Rubber and miscellaneous plastics products","D","Manufacturing"
"3061","Molded, Extruded, and Lathe-Cut Mechanical","30","Rubber and miscellaneous plastics products","D","Manufacturing"
"3069","Fabricated Rubber Products, NEC","30","Rubber and miscellaneous plastics products","D","Manufacturing"
"3081","Unsupported Plastics Film and Sheet","30","Rubber and miscellaneous plastics products","D","Manufacturing"
"3082","Unsupported Plastics Profile Shapes","30","Rubber and miscellaneous plastics products","D","Manufacturing"
"3083","Laminated Plastics Plate, Sheet, and Profile","30","Rubber and miscellaneous plastics products","D","Manufacturing"
"3084","Plastics Pipe","30","Rubber and miscellaneous plastics products","D","Manufacturing"
"3085","Plastics Bottles","30","Rubber and miscellaneous plastics products","D","Manufacturing"
"3086","Plastics Foam Products","30","Rubber and miscellaneous plastics products","D","Manufacturing"
"3087","Custom Compounding of Purchased Plastics","30","Rubber and miscellaneous plastics products","D","Manufacturing"
"3088","Plastics Plumbing Fixtures","30","Rubber and miscellaneous plastics products","D","Manufacturing"
"3089","Plastics Products, NEC","30","Rubber and miscellaneous plastics products","D","Manufacturing"
"3111","Leather Tanning and Finishing","31","Leather and leather products","D","Manufacturing"
"3131","Boot and Shoe Cut Stock and Findings","31","Leather and leather products","D","Manufacturing"
"3142","House Slippers","31","Leather and leather products","D","Manufacturing"
"3143","Men's Footwear, Except Athletic","31","Leather and leather products","D","Manufacturing"
